userid,createdat,cassandra_timestamp,keyword,searchtype
66f0e3062ef39d0b29751ae0,2024-10-21 01:35:47.273835,2024-10-21 01:35:47.273835,the sopranos,tv
66f0e3062ef39d0b29751ae0,2024-10-21 16:18:04.827157,2024-10-21 16:18:04.827157,game of thrones,tv
66f0e3062ef39d0b29751ae0,2024-10-21 14:13:09.190512,2024-10-21 14:13:09.190512,titanic,movie
66f0e3062ef39d0b29751ae0,2024-10-21 06:47:22.617814,2024-10-21 06:47:22.617814,keanu reeves,person
66f0e3062ef39d0b29751ae0,2024-10-21 08:20:57.701908,2024-10-21 08:20:57.701908,the social network,movie
66f0e3062ef39d0b29751ae0,2024-10-21 03:13:54.942933,2024-10-21 03:13:54.942933,angelina jolie,person
66f0e3062ef39d0b29751ae0,2024-10-21 07:19:55.118696,2024-10-21 07:19:55.118696,goodfellas,movie
66f0e3062ef39d0b29751ae0,2024-10-21 02:09:19.900924,2024-10-21 02:09:19.900924,black mirror,tv
66f0e3062ef39d0b29751ae3,2024-10-21 07:36:04.499597,2024-10-21 07:36:04.499597,game of thrones,tv
66f0e3062ef39d0b29751ae3,2024-10-21 06:15:05.728207,2024-10-21 06:15:05.728207,sherlock,tv
66f0e3062ef39d0b29751ae3,2024-10-21 08:59:46.522967,2024-10-21 08:59:46.522967,toy story,movie
66f0e3062ef39d0b29751ae3,2024-10-21 00:54:30.745054,2024-10-21 00:54:30.745054,house of cards,tv
66f0e3062ef39d0b29751ae3,2024-10-21 20:08:30.168847,2024-10-21 20:08:30.168847,bojack horseman,tv
66f0e3062ef39d0b29751ae3,2024-10-21 12:51:21.407088,2024-10-21 12:51:21.407088,samuel l. jackson,person
