userid,createdat,cassandra_timestamp,keyword,searchtype
66f0e0ee9e43ef20850eeab8,2024-10-27 23:03:51.715181,2024-10-27 23:03:51.715181,narcos,tv
66f0e0ee9e43ef20850eeab8,2024-10-27 04:16:31.315021,2024-10-27 04:16:31.315021,star wars,movie
66f0e0ee9e43ef20850eeab8,2024-10-27 19:06:22.524842,2024-10-27 19:06:22.524842,fight club,movie
66f0e0ee9e43ef20850eeab8,2024-10-27 08:53:32.646203,2024-10-27 08:53:32.646203,house of cards,tv
66f0e0ee9e43ef20850eeab8,2024-10-27 07:29:30.952154,2024-10-27 07:29:30.952154,true detective,tv
66f0e0ee9e43ef20850eeab8,2024-10-27 23:38:24.195838,2024-10-27 23:38:24.195838,better call saul,tv
66f0e0ee9e43ef20850eeab8,2024-10-27 15:12:50.700153,2024-10-27 15:12:50.700153,leonardo dicaprio,person
66f0e0ee9e43ef20850eeab8,2024-10-27 09:04:09.756189,2024-10-27 09:04:09.756189,friends,tv
66f0e0ee9e43ef20850eeab8,2024-10-27 15:04:42.918366,2024-10-27 15:04:42.918366,robert downey jr.,person
66f0e2a0f9032f7187b16ec4,2024-10-27 07:16:51.576137,2024-10-27 07:16:51.576137,schindler's list,movie
66f0e2a0f9032f7187b16ec4,2024-10-27 18:37:48.557223,2024-10-27 18:37:48.557223,leonardo dicaprio,person
66f0e2a0f9032f7187b16ec4,2024-10-27 13:19:48.811961,2024-10-27 13:19:48.811961,the matrix,movie
66f0e2a0f9032f7187b16ec4,2024-10-27 13:29:56.535967,2024-10-27 13:29:56.535967,ryan gosling,person
66f0e2a0f9032f7187b16ec4,2024-10-27 04:38:42.801650,2024-10-27 04:38:42.801650,kate winslet,person
66f0e2a0f9032f7187b16ec4,2024-10-27 17:07:30.262408,2024-10-27 17:07:30.262408,the office,tv
66f0e2a0f9032f7187b16ec4,2024-10-27 07:55:24.360025,2024-10-27 07:55:24.360025,samuel l. jackson,person
66f0e2a0f9032f7187b16ec4,2024-10-27 16:06:17.223435,2024-10-27 16:06:17.223435,star wars,movie
66f0e3221a83bf58568fd1ff,2024-10-27 08:38:04.936266,2024-10-27 08:38:04.936266,stranger things,tv
66f0e3221a83bf58568fd1ff,2024-10-27 11:31:24.202816,2024-10-27 11:31:24.202816,chernobyl,tv
66f0e3221a83bf58568fd1ff,2024-10-27 19:13:56.057524,2024-10-27 19:13:56.057524,keanu reeves,person
66f0e3221a83bf58568fd1ff,2024-10-27 04:44:11.445182,2024-10-27 04:44:11.445182,mad max,movie
66f0e3221a83bf58568fd1ff,2024-10-27 03:46:17.273435,2024-10-27 03:46:17.273435,mindhunter,tv
66ea83e5b3b49e84729440f9,2024-10-27 23:12:42.052552,2024-10-27 23:12:42.052552,kate winslet,person
66ea83e5b3b49e84729440f9,2024-10-27 02:39:17.455001,2024-10-27 02:39:17.455001,toy story,movie
66ea83e5b3b49e84729440f9,2024-10-27 05:14:45.206950,2024-10-27 05:14:45.206950,hugh jackman,person
66ea83e5b3b49e84729440f9,2024-10-27 00:57:51.100146,2024-10-27 00:57:51.100146,back to the future,movie
66ea83e5b3b49e84729440f9,2024-10-27 07:57:12.785675,2024-10-27 07:57:12.785675,jennifer aniston,person
66ed749093aab795b16f9b06,2024-10-27 08:37:12.096637,2024-10-27 08:37:12.096637,the social network,movie
66ed749093aab795b16f9b06,2024-10-27 21:12:24.451454,2024-10-27 21:12:24.451454,johnny depp,person
66ed749093aab795b16f9b06,2024-10-27 05:12:25.888802,2024-10-27 05:12:25.888802,the mandalorian,tv
66ed749093aab795b16f9b06,2024-10-27 13:23:33.503081,2024-10-27 13:23:33.503081,ryan gosling,person
66ed749093aab795b16f9b06,2024-10-27 16:53:44.474981,2024-10-27 16:53:44.474981,house of cards,tv
66ed749093aab795b16f9b06,2024-10-27 09:51:41.772610,2024-10-27 09:51:41.772610,the witcher,tv
66ed749093aab795b16f9b06,2024-10-27 12:27:41.527977,2024-10-27 12:27:41.527977,scarlett johansson,person
66ed749093aab795b16f9b06,2024-10-27 16:28:33.339842,2024-10-27 16:28:33.339842,margot robbie,person
66ed749093aab795b16f9b06,2024-10-27 02:00:52.815410,2024-10-27 02:00:52.815410,natalie portman,person
