userid,createdat,cassandra_timestamp,keyword,searchtype
66ea83e5b3b49e8409349fg3,2024-09-08 23:03:57.270354,2024-09-08 23:03:57.270354,toy story,movie
66ea83e5b3b49e8409349fg3,2024-09-08 16:58:11.515092,2024-09-08 16:58:11.515092,the big bang theory,tv
66ea83e5b3b49e8409349fg3,2024-09-08 22:36:18.594233,2024-09-08 22:36:18.594233,breaking bad,tv
66ea83e5b3b49e8409349fg3,2024-09-08 06:54:31.956006,2024-09-08 06:54:31.956006,true detective,tv
66ea83e5b3b49e8409349fg3,2024-09-08 10:36:23.369122,2024-09-08 10:36:23.369122,the big bang theory,tv
66ea83e5b3b49e8409349fg3,2024-09-08 21:16:04.833173,2024-09-08 21:16:04.833173,tom cruise,person
66ea83e5b3b49e8409349fg3,2024-09-08 18:33:29.277848,2024-09-08 18:33:29.277848,narcos,tv
66ea83e5b3b49e8409349fg3,2024-09-08 19:17:25.837752,2024-09-08 19:17:25.837752,forrest gump,movie
66ea83e5b3b49e8409349fg3,2024-09-08 12:20:51.230004,2024-09-08 12:20:51.230004,black mirror,tv
66f0e313d328f08f55b77c67,2024-09-08 18:01:31.877918,2024-09-08 18:01:31.877918,meryl streep,person
66f0e313d328f08f55b77c67,2024-09-08 08:36:12.035655,2024-09-08 08:36:12.035655,mindhunter,tv
66f0e313d328f08f55b77c67,2024-09-08 07:55:21.808189,2024-09-08 07:55:21.808189,star wars,movie
66f0e313d328f08f55b77c67,2024-09-08 21:32:20.364531,2024-09-08 21:32:20.364531,jurassic park,movie
66f0e313d328f08f55b77c67,2024-09-08 05:32:57.553056,2024-09-08 05:32:57.553056,schindler's list,movie
66f0e313d328f08f55b77c67,2024-09-08 04:46:01.582238,2024-09-08 04:46:01.582238,the matrix,movie
66f0e313d328f08f55b77c67,2024-09-08 10:23:49.045743,2024-09-08 10:23:49.045743,scarlett johansson,person
66f0e0dbed136a0ac7c40e24,2024-09-08 04:18:18.336030,2024-09-08 04:18:18.336030,friends,tv
66f0e0dbed136a0ac7c40e24,2024-09-08 06:01:38.513325,2024-09-08 06:01:38.513325,the sopranos,tv
66f0e0dbed136a0ac7c40e24,2024-09-08 10:12:37.302937,2024-09-08 10:12:37.302937,back to the future,movie
66f0e0dbed136a0ac7c40e24,2024-09-08 11:13:15.911828,2024-09-08 11:13:15.911828,johnny depp,person
66f0e0dbed136a0ac7c40e24,2024-09-08 15:34:16.765090,2024-09-08 15:34:16.765090,the big bang theory,tv
66f0e0dbed136a0ac7c40e24,2024-09-08 16:14:38.914224,2024-09-08 16:14:38.914224,brad pitt,person
66f0e0dbed136a0ac7c40e24,2024-09-08 21:43:40.335296,2024-09-08 21:43:40.335296,westworld,tv
66f0e0dbed136a0ac7c40e24,2024-09-08 06:13:39.308189,2024-09-08 06:13:39.308189,forrest gump,movie
66f0e0dbed136a0ac7c40e24,2024-09-08 22:26:22.602693,2024-09-08 22:26:22.602693,hugh jackman,person
66f0e0dbed136a0ac7c40e24,2024-09-08 15:15:39.347763,2024-09-08 15:15:39.347763,narcos,tv
66ed748493aab795b16f9afc,2024-09-08 00:33:53.575525,2024-09-08 00:33:53.575525,rick and morty,tv
66ed748493aab795b16f9afc,2024-09-08 16:37:48.269116,2024-09-08 16:37:48.269116,peaky blinders,tv
66ed748493aab795b16f9afc,2024-09-08 11:13:17.628869,2024-09-08 11:13:17.628869,robert pattinson,person
66ed748493aab795b16f9afc,2024-09-08 04:30:13.954098,2024-09-08 04:30:13.954098,the witcher,tv
66ed748493aab795b16f9afc,2024-09-08 14:12:09.302260,2024-09-08 14:12:09.302260,the dark knight,movie
66ed748493aab795b16f9afc,2024-09-08 22:02:22.960722,2024-09-08 22:02:22.960722,kate winslet,person
66ed74cc93aab795b16f9b0e,2024-09-08 09:27:10.755806,2024-09-08 09:27:10.755806,scarlett johansson,person
66ed74cc93aab795b16f9b0e,2024-09-08 09:55:34.153940,2024-09-08 09:55:34.153940,lord of the rings,movie
66ed74cc93aab795b16f9b0e,2024-09-08 05:37:23.640519,2024-09-08 05:37:23.640519,the walking dead,tv
66ed74cc93aab795b16f9b0e,2024-09-08 05:24:00.931212,2024-09-08 05:24:00.931212,the matrix,movie
66ed74cc93aab795b16f9b0e,2024-09-08 05:39:19.499839,2024-09-08 05:39:19.499839,stranger things,tv
66ed74cc93aab795b16f9b0e,2024-09-08 16:20:17.417232,2024-09-08 16:20:17.417232,the big bang theory,tv
66ed74cc93aab795b16f9b0e,2024-09-08 15:18:01.053376,2024-09-08 15:18:01.053376,tom cruise,person
66ed74cc93aab795b16f9b0e,2024-09-08 23:53:33.892993,2024-09-08 23:53:33.892993,the godfather,movie
66f0e313d328f08f55b77c64,2024-09-08 11:07:32.711117,2024-09-08 11:07:32.711117,toy story,movie
